event_id,event_cause,corridor,police_station,latitude,longitude,is_weekend,is_peak_hour,is_night_event,historical_corridor_risk,historical_police_station_risk,historical_cluster_risk,historical_cause_closure_rate,historical_corridor_closure_rate,target_priority,target_requires_road_closure,target_event_duration_minutes
FKID005827,vehicle_breakdown,Non-corridor,Sheshadripuram,12.982525,77.5696167,True,False,False,0.3822,0.015,0.9036,0.0429,0.121,Low,0,44.54
FKID005828,vehicle_breakdown,Mysore Road,Banashankari,12.9573967,77.55177,True,False,False,0.0909,0.0125,0.9036,0.0429,0.1104,Low,1,53.1
FKID005829,vehicle_breakdown,Non-corridor,Wilson Garden,12.9486171,77.6026398,True,False,False,0.3822,0.0128,0.9036,0.0429,0.121,Low,0,0.0
FKID005830,vehicle_breakdown,Non-corridor,Adugodi,12.9486278,77.6027062,True,False,False,0.3822,0.0147,0.9036,0.0429,0.121,Low,0,0.0
FKID005831,vehicle_breakdown,Bellary Road 1,Sadashivanagar,13.0180751,77.5835767,True,False,False,0.0746,0.037,0.9036,0.0429,0.0541,High,0,114.14
FKID004444,road_conditions,Non-corridor,Whitefield,12.9399903,77.7473462,True,False,False,0.3822,0.0221,0.0088,0.1235,0.121,Low,0,102549.48
FKID005832,vehicle_breakdown,Non-corridor,Adugodi,12.936279,77.6072722,True,False,False,0.3822,0.0147,0.9036,0.0429,0.121,Low,0,0.0
FKID005805,public_event,Non-corridor,Jayanagara,12.91747438,77.57394791,True,False,True,0.3822,0.0218,0.9036,0.4643,0.121,Low,1,420.0
FKID005806,public_event,Non-corridor,Jayanagara,12.91747438,77.57394791,True,False,True,0.3822,0.0218,0.9036,0.4643,0.121,Low,1,420.0
FKID005834,vehicle_breakdown,Non-corridor,Halasur,12.9662562,77.6248471,True,False,True,0.3822,0.0144,0.9036,0.0429,0.121,Low,0,0.0
FKID005835,vehicle_breakdown,Non-corridor,K.R. Pura,13.00778,77.6916494,True,False,True,0.3822,0.0279,0.9036,0.0429,0.121,Low,0,0.0
FKID005836,construction,ORR North 1,Hebbala,13.0427611,77.6103677,True,False,True,0.0336,0.0165,0.9036,0.2646,0.08,High,0,301.01
FKID004453,vehicle_breakdown,Bellary Road 1,R.T. Nagar,13.0251867,77.5853333,True,False,True,0.0746,0.0155,0.9036,0.0429,0.0541,High,0,0.0
FKID005837,construction,ORR North 1,Hebbala,13.0426969,77.6103967,True,False,True,0.0336,0.0165,0.9036,0.2646,0.08,High,0,68.28
FKID005838,vehicle_breakdown,Bellary Road 2,Yelahanka,13.122685,77.61158,True,False,True,0.0464,0.0461,0.9036,0.0429,0.0317,High,0,20.41
FKID005839,vehicle_breakdown,Non-corridor,Upparpet,12.9740568,77.5817343,True,False,True,0.3822,0.0077,0.9036,0.0429,0.121,Low,0,52.05
FKID005204,vehicle_breakdown,Non-corridor,Kamakshipalya,12.9874952,77.4752769,True,False,True,0.3822,0.0274,0.9036,0.0429,0.121,Low,0,17.29
FKID005840,accident,Old Madras Road,Banaswadi,12.990177,77.6548824,True,False,True,0.0322,0.03,0.9036,0.0301,0.0456,High,0,0.0
FKID005841,vehicle_breakdown,Hosur Road,Ashok Nagar,12.9581282,77.6059481,True,False,True,0.0365,0.0209,0.9036,0.0429,0.057,High,0,0.0
FKID005842,vehicle_breakdown,Non-corridor,Chamarajpet,12.9738982,77.5694867,True,False,True,0.3822,0.0235,0.9036,0.0429,0.121,Low,0,71.05
FKID005843,vehicle_breakdown,Old Madras Road,Banaswadi,12.9900878,77.654618,True,False,True,0.0322,0.03,0.9036,0.0429,0.0456,High,0,0.0
FKID004130,vehicle_breakdown,Non-corridor,Kengeri,12.9285971,77.4694872,True,False,True,0.3822,0.0054,0.001,0.0429,0.121,Low,1,0.0
FKID005844,others,Bellary Road 2,Yelahanka,13.0992277,77.5972877,True,False,True,0.0464,0.0461,0.9036,0.0862,0.0317,High,0,141.82
FKID004455,vehicle_breakdown,Bellary Road 1,R.T. Nagar,13.022067,77.5845037,True,False,True,0.0746,0.0155,0.9036,0.0429,0.0541,High,0,0.0
FKID005845,vehicle_breakdown,Tumkur Road,Yeshwanthpura,13.0175906,77.555508,True,False,True,0.056,0.0343,0.9036,0.0429,0.0262,High,0,58.35
FKID005846,vehicle_breakdown,Mysore Road,Byatarayanapura,12.9557995,77.5458224,True,False,False,0.0909,0.0363,0.9036,0.0429,0.1104,High,1,0.0
FKID005848,vehicle_breakdown,ORR East 1,HAL Old Airport,12.932995,77.6882117,True,False,False,0.0299,0.0442,0.9036,0.0429,0.0738,High,0,0.0
FKID004459,accident,Bellary Road 1,R.T. Nagar,13.0281652,77.586313,True,True,False,0.0746,0.0155,0.9036,0.0301,0.0541,High,0,0.0
FKID004460,accident,Non-corridor,Kengeri,12.89030403,77.48279024,True,True,False,0.3822,0.0054,0.0005,0.0301,0.121,Low,0,0.0
FKID004462,accident,Non-corridor,Kengeri,12.89030403,77.48279024,True,True,False,0.3822,0.0054,0.0005,0.0301,0.121,Low,0,0.0
FKID004464,accident,Non-corridor,Kengeri,12.89030403,77.48279024,True,True,False,0.3822,0.0054,0.0005,0.0301,0.121,Low,0,0.0
FKID005849,construction,ORR East 1,HSR Layout,12.9174784,77.6237621,True,False,False,0.0299,0.0142,0.9036,0.2646,0.0738,High,1,0.0
FKID000894,construction,Non-corridor,Sheshadripuram,12.98506103,77.57213473,True,False,False,0.3822,0.015,0.9036,0.2646,0.121,Low,1,129600.0
FKID000898,construction,Non-corridor,Sheshadripuram,12.98506103,77.57213473,True,False,False,0.3822,0.015,0.9036,0.2646,0.121,Low,1,129600.0
FKID004486,public_event,Bellary Road 1,High ground,12.99378563,77.58500934,True,True,False,0.0746,0.0226,0.9036,0.4643,0.0541,High,1,1020.0
FKID005850,pot_holes,Hosur Road,Ashok Nagar,12.9583826,77.6060063,True,False,False,0.0365,0.0209,0.9036,0.0242,0.057,High,0,0.0
FKID004472,vehicle_breakdown,Varthur Road,HAL Old Airport,12.9567383,77.7075067,True,False,False,0.0094,0.0442,0.9036,0.0429,0.1169,High,0,0.0
FKID004467,procession,Non-corridor,Kamakshipalya,12.9821891,77.4802964,True,False,True,0.3822,0.0274,0.9036,0.2639,0.121,Low,1,2.59
FKID004465,vehicle_breakdown,Bellary Road 1,Sadashivanagar,12.998546,77.5839304,True,False,True,0.0746,0.037,0.9036,0.0429,0.0541,High,0,0.0
FKID005851,vehicle_breakdown,Tumkur Road,Yeshwanthpura,13.0319933,77.5343491,True,False,True,0.056,0.0343,0.9036,0.0429,0.0262,High,0,0.0
FKID004468,vehicle_breakdown,Bellary Road 1,Hebbala,13.0496095,77.5932886,True,False,True,0.0746,0.0165,0.9036,0.0429,0.0541,High,0,0.0
FKID004470,others,Non-corridor,Sadashivanagar,13.0327765,77.5640775,True,False,True,0.3822,0.037,0.9036,0.0862,0.121,Low,0,0.0
FKID004471,procession,Non-corridor,Yelahanka,13.1028087,77.6276652,True,False,True,0.3822,0.0461,0.0012,0.2639,0.121,Low,0,0.0
FKID004474,vehicle_breakdown,ORR North 1,Hebbala,13.0458887,77.6019015,False,False,True,0.0336,0.0165,0.9036,0.0429,0.08,High,0,0.0
FKID005852,others,Bellary Road 2,Yelahanka,13.1228763,77.61111,False,False,True,0.0464,0.0461,0.9036,0.0862,0.0317,High,0,4008.74
FKID005853,vehicle_breakdown,Tumkur Road,Chikkabanavara,13.0410992,77.517224,False,False,True,0.056,0.0144,0.9036,0.0429,0.0262,High,0,0.0
FKID005854,vehicle_breakdown,Tumkur Road,Chikkabanavara,13.0404332,77.5180931,False,False,True,0.056,0.0144,0.9036,0.0429,0.0262,High,0,0.0
FKID004478,congestion,Non-corridor,Whitefield,12.9388557,77.7473015,False,False,True,0.3822,0.0221,0.0088,0.0441,0.121,Low,0,0.0
FKID005855,vehicle_breakdown,Non-corridor,Upparpet,12.9743459,77.5782828,False,False,True,0.3822,0.0077,0.9036,0.0429,0.121,Low,0,64.2
FKID005856,accident,Bellary Road 2,Chikkajala,13.1398463,77.6175835,False,False,True,0.0464,0.0091,0.9036,0.0301,0.0317,High,0,16.33
FKID005857,accident,Bellary Road 2,Chikkajala,13.1399908,77.6176147,False,False,True,0.0464,0.0091,0.9036,0.0301,0.0317,High,0,14.43
FKID005858,pot_holes,Varthur Road,HAL Old Airport,12.9559169,77.7148996,False,False,True,0.0094,0.0442,0.9036,0.0242,0.1169,High,0,0.0
FKID005847,vehicle_breakdown,Old Madras Road,Banaswadi,12.9870133,77.6484533,False,False,False,0.0322,0.03,0.9036,0.0429,0.0456,High,0,0.0
FKID004485,procession,Magadi Road,Kamakshipalya,12.9897125,77.5018663,False,False,False,0.03,0.0274,0.9036,0.2639,0.0408,High,0,0.0
FKID004484,vehicle_breakdown,Bellary Road 1,Kodigehalli,13.0230345,77.5844505,False,False,False,0.0746,0.0333,0.9036,0.0429,0.0541,High,0,0.0
FKID005859,pot_holes,West of Chord Road,Vijayanagara,12.997533,77.5501443,False,True,False,0.0213,0.0071,0.9036,0.0242,0.0632,High,0,0.0
FKID005860,vehicle_breakdown,Non-corridor,Wilson Garden,12.9554841,77.5857974,False,True,False,0.3822,0.0128,0.9036,0.0429,0.121,Low,0,44.05
FKID005861,vehicle_breakdown,Tumkur Road,Chikkabanavara,13.0462359,77.5078697,False,True,False,0.056,0.0144,0.9036,0.0429,0.0262,High,1,0.0
FKID004490,road_conditions,Airport New South Road,Hennuru,13.0405253,77.6416766,False,True,False,0.0082,0.0338,0.0082,0.1235,0.1045,High,0,413.53
FKID004491,vehicle_breakdown,Non-corridor,HAL Old Airport,12.9616506,77.7167073,False,True,False,0.3822,0.0442,0.9036,0.0429,0.121,Low,0,0.0
FKID004492,pot_holes,Non-corridor,Banaswadi,13.0056262,77.6382993,False,True,False,0.3822,0.03,0.9036,0.0242,0.121,Low,0,112622.04
FKID005862,vehicle_breakdown,Mysore Road,Cubbon Park,12.9727895,77.5945381,False,True,False,0.0909,0.0259,0.9036,0.0429,0.1104,High,0,23.04
FKID004494,vehicle_breakdown,ORR North 1,Mahadevapura,12.9953153,77.6667291,False,True,False,0.0336,0.0147,0.9036,0.0429,0.08,High,0,0.0
FKID004495,construction,ORR East 1,HAL Old Airport,12.9468698,77.6988692,False,True,False,0.0299,0.0442,0.9036,0.2646,0.0738,High,0,72119.43
FKID005863,vehicle_breakdown,Bannerghata Road,Mico Layout,12.8998101,77.6009496,False,True,False,0.0256,0.0142,0.9036,0.0429,0.0335,High,0,0.0
FKID005205,construction,ORR East 2,HAL Old Airport,12.9693719,77.7009665,False,True,False,0.0229,0.0442,0.9036,0.2646,0.016,High,0,746.37
FKID005206,vehicle_breakdown,ORR East 1,HAL Old Airport,12.9337824,77.6890112,False,True,False,0.0299,0.0442,0.9036,0.0429,0.0738,High,0,40.84
FKID004497,accident,Bellary Road 1,High ground,12.9968495,77.5847935,False,True,False,0.0746,0.0226,0.9036,0.0301,0.0541,High,0,77.11
FKID005864,vehicle_breakdown,Non-corridor,Whitefield,12.9841284,77.7508311,False,True,False,0.3822,0.0221,0.0075,0.0429,0.121,Low,0,0.0
FKID005865,vehicle_breakdown,Non-corridor,Mahadevapura,12.9842379,77.7508293,False,True,False,0.3822,0.0147,0.0075,0.0429,0.121,Low,0,32.77
FKID005866,vehicle_breakdown,ORR West 1,Banashankari,12.9265543,77.5483644,False,False,False,0.0206,0.0125,0.9036,0.0429,0.0298,High,0,0.0
FKID004499,pot_holes,ORR East 1,HAL Old Airport,12.9522803,77.7002234,False,False,False,0.0299,0.0442,0.9036,0.0242,0.0738,High,0,4312.25
FKID005207,vehicle_breakdown,Bellary Road 1,R.T. Nagar,13.0231313,77.5848147,False,False,False,0.0746,0.0155,0.9036,0.0429,0.0541,High,0,0.0
FKID005867,road_conditions,CBD 2,Cubbon Park,12.9838641,77.5967127,False,False,False,0.0127,0.0259,0.9036,0.1235,0.0673,High,0,4665.63
FKID005868,others,Non-corridor,Sheshadripuram,12.9825394,77.5680497,False,False,False,0.3822,0.015,0.9036,0.0862,0.121,Low,0,49.17
FKID001592,pot_holes,Non-corridor,Jayanagara,12.916735,77.5950683,False,False,False,0.3822,0.0218,0.9036,0.0242,0.121,Low,0,177509.8
FKID005869,road_conditions,West of Chord Road,Rajajinagar,13.0076457,77.5485665,False,False,False,0.0213,0.0127,0.9036,0.1235,0.0632,High,0,0.0
FKID005870,construction,ORR North 1,K.G. Halli,13.0416363,77.6135894,False,False,False,0.0336,0.0091,0.9036,0.2646,0.08,High,0,5001.93
FKID005871,vehicle_breakdown,Tumkur Road,Yeshwanthpura,13.0302057,77.5380543,False,False,False,0.056,0.0343,0.9036,0.0429,0.0262,High,0,0.0
FKID005872,vehicle_breakdown,Non-corridor,Electronic City,12.8553985,77.6651426,False,False,False,0.3822,0.0152,0.9036,0.0429,0.121,Low,0,60.24
FKID005873,congestion,Non-corridor,Jayanagara,12.9171875,77.5868681,False,False,True,0.3822,0.0218,0.9036,0.0441,0.121,Low,1,42.64
FKID005874,pot_holes,CBD 1,Shivajinagar,12.9809483,77.6030933,False,False,True,0.0032,0.0114,0.9036,0.0242,0.1154,High,0,56925.17
FKID005208,others,Magadi Road,Kamakshipalya,12.9893396,77.4938904,False,False,True,0.03,0.0274,0.9036,0.0862,0.0408,High,1,37826.53
